variable,definicion,tipo,unidad,capa,archivos,construccion_notas
en_dominio_recuperacion,Indica si la unidad recibe una proporción de recuperación a veinte años,booleano,verdadero o falso,procesada,completacion_nacional_unidades.csv,Falso implica rho aplicada igual a uno en la completación conservadora
equivalencia_indicativa_2026_gtq_millones,Equivalencia monetaria contextual homologada a 2026,numérico,millones de GTQ,entrada y procesada,costos_contextuales.csv; costos_contextuales_no_aditivos.csv,Contexto no aditivo y sin atribución causal a la deforestación
escenario,Nombre de la trayectoria futura,texto,no aplica,entrada y procesada,escenarios_2026_2035.csv; escenarios_nacionales.csv; escenarios_valorados.csv; trayectorias_fisicas.csv,Se cruza con los tres resultados forestales
estado,Estado del control automático,texto,categoría,procesada,controles_calidad.csv,Valor esperado Cumple
estado_dominio,Decisión de elegibilidad para aplicar rho20,texto,categoría,entrada,dominio_aplicacion_recuperacion.csv,Distingue elegibles excluidos y unidades no municipales
flujo_anual_inferior_gtq,Valor monetario anual del límite inferior de pérdida,numérico,GTQ por año,procesada,valoracion_resultados_forestales_nacionales.csv; escenarios_valorados.csv,resultado_inferior_anual_ha por valor_unitario_gtq_ha_anio
flujo_anual_superior_gtq,Valor monetario anual del límite superior de pérdida,numérico,GTQ por año,procesada,valoracion_resultados_forestales_nacionales.csv; escenarios_valorados.csv,resultado_superior_anual_ha por valor_unitario_gtq_ha_anio
fuente,Referencia abreviada del dato o parámetro,texto,no aplica,entrada y procesada,parametros_valoracion.csv; costos_contextuales*.csv,Consultar registro_fuentes.csv para trazabilidad completa
ganancia_bruta_ha,Nombre original de la ganancia de cobertura reportada,numérico,ha acumuladas 2016-2020,entrada,base_forestal_2016_2020.csv,Se renombra como recuperacion_bruta_ha al leer la base
horizonte_servicios_anios,Número de años de servicios valorados para cada cohorte,entero,años,procesada,valoracion_resultados_forestales_nacionales.csv,Valor central igual a 25
indicador_fuente,Indicador expresado originalmente por la fuente,texto,no aplica,entrada y procesada,costos_contextuales.csv; costos_contextuales_no_aditivos.csv,Se conserva como contexto documental
intervalo_efectivo_anios,Duración efectiva usada por el estudio histórico,numérico,años,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,Puede diferir de la resta entre años nominales
justificacion,Razón ecológica u operativa de la región de referencia,texto,no aplica,entrada y procesada,catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv,Documenta la correspondencia y no implica validación de campo municipal
multiplicador_perdida_bruta,Factor aplicado a la pérdida bruta en un escenario,numérico adimensional,proporción,entrada y procesada,escenarios_2026_2035.csv; escenarios_nacionales.csv; escenarios_valorados.csv,Debe ser no negativo
multiplicador_recuperacion,Factor aplicado a la recuperación en un escenario,numérico adimensional,proporción,entrada y procesada,escenarios_2026_2035.csv; escenarios_nacionales.csv; escenarios_valorados.csv,Debe ser no negativo y aumentar si el escenario se denomina restauración
municipio,Nombre de la unidad municipal o lacustre,texto,no aplica,entrada y procesada,archivos territoriales,Debe interpretarse junto con tipo_unidad
municipios,Número de municipios incluidos en un agregado o transición,entero,municipios,procesada,resultados_dominio_recuperacion.csv; resultados_regiones_recuperacion.csv; resultados_recuperacion_departamentales.csv; resumen_mangle_local.csv; transiciones_clasificacion_ponderada.csv,No incluye unidades lacustres salvo declaración distinta
municipios_con_proporcion,Número de unidades de la completación que pertenecen al dominio de aplicación,entero,municipios,procesada,completacion_nacional_resumen.csv,Valor esperado 172
nota,Advertencia o aclaración del parámetro,texto,no aplica,entrada,parametros_valoracion.csv,Debe acompañar la interpretación del valor
numero_cohortes,Número de cohortes anuales de pérdida en la trayectoria valorada,entero,cohortes,procesada,valoracion_resultados_forestales_nacionales.csv,Valor central igual a 10
parametro,Identificador del parámetro de valoración,texto,no aplica,entrada,parametros_valoracion.csv,Clave estable dentro del archivo
perdida_bruta_anual_ha,Tasa media anual de pérdida bruta,numérico,ha por año,procesada,resultados_institucionales_*.csv; completacion_nacional_resumen.csv,perdida_bruta_ha dividida entre cuatro
perdida_bruta_anual_reportada_ha,Pérdida bruta anual publicada para el periodo histórico,numérico,ha por año,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,Se conserva como cifra reportada y no se recalcula desde años nominales
perdida_bruta_ha,Pérdida de cobertura antes de restar recuperación,numérico,ha acumuladas 2016-2020,entrada y procesada,base_forestal_2016_2020.csv y resultados territoriales,Variable B del marco analítico
perdida_bruta_total_ha,Pérdida bruta total publicada para un periodo histórico,numérico,ha,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,Periodo indicado por anio_inicial y anio_final
perdida_neta_anual_ha,Tasa media anual de pérdida neta,numérico,ha por año,procesada,resultados_institucionales_*.csv; completacion_nacional_resumen.csv,perdida_neta_ha dividida entre cuatro
perdida_neta_anual_reportada_ha,Pérdida neta anual publicada para el periodo histórico,numérico,ha por año,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,Se conserva como cifra reportada
perdida_neta_calculada_ha,Pérdida neta recalculada para control,numérico,ha acumuladas 2016-2020,procesada,resultados_institucionales_municipales.csv,perdida_bruta_ha menos recuperacion_bruta_ha
perdida_neta_ha,Pérdida neta institucional,numérico,ha acumuladas 2016-2020,procesada,resultados territoriales,Variable N igual a B-R con positivo como pérdida
perdida_neta_total_ha,Pérdida neta total publicada para un periodo histórico,numérico,ha,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,No debe confundirse con la tasa anual reportada
periodo,Etiqueta del periodo histórico,texto,años,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,Por ejemplo 1991-2001
porcentaje_fila,Participación de una transición dentro de su clasificación institucional de origen,numérico,porcentaje,procesada,transiciones_clasificacion_ponderada.csv,Cociente entre municipios de la celda y total de su fila multiplicado por cien
proporcion_estructural_max,Límite superior de la proporción local de trayectorias favorables,numérico adimensional,proporción,procesada,intervalo_estructural_local.csv; resultados_mangle_locales.csv; comparacion_local_recuperacion_mangle.csv,(favorables más mixtas) dividido entre 55 igual a 34/55
proporcion_estructural_min,Límite inferior de la proporción local de trayectorias favorables,numérico adimensional,proporción,procesada,intervalo_estructural_local.csv; resultados_mangle_locales.csv; comparacion_local_recuperacion_mangle.csv,favorables dividido entre 55 igual a 30/55
proporcion_recuperacion,Descripción de la proporción reconocida por el método,texto,proporción o parámetro,procesada,resultados_forestales_nacionales.csv; valoracion_resultados_forestales_nacionales.csv,Valores 0 1 o rho20 dentro del dominio y 1 fuera
recuperacion_20_anios,Representación textual del intervalo de recuperación de biomasa a veinte años,texto,porcentaje,entrada y procesada,catalogo_proporciones_recuperacion.csv; catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv,Campo de comunicación complementario a rho20_min rho20_central y rho20_max
recuperacion_bruta_anual_ha,Tasa media anual de ganancia de cobertura,numérico,ha por año,procesada,resultados_institucionales_*.csv; completacion_nacional_resumen.csv,recuperacion_bruta_ha dividida entre cuatro
recuperacion_bruta_ha,Recuperación reportada o ganancia de cobertura,numérico,ha acumuladas 2016-2020,procesada,resultados territoriales,Variable R del marco analítico y nombre normalizado de ganancia_bruta_ha
recuperacion_implicita_total_ha,Recuperación histórica inferida como diferencia entre pérdida bruta y neta,numérico,ha,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,No es una observación independiente cuando se deriva por diferencia
region_id,Identificador de región analítica asignada al municipio,texto,no aplica,entrada y procesada,dominio_aplicacion_recuperacion.csv; resultados_recuperacion_municipales.csv,Incluye regiones elegibles y excluidas
region_nombre,Nombre descriptivo de la región de referencia,texto,no aplica,entrada y procesada,dominio_aplicacion_recuperacion.csv; catalogo_proporciones_recuperacion.csv; resultados_recuperacion_*.csv,No es una división administrativa oficial
registros_parcela,Número de registros de parcela asociados al municipio,entero,registros,entrada,evidencia_ppm_estructural.csv,Suma 75 en el archivo aunque el portal menciona 76 para el universo del servicio
regla,Nombre interno del resultado forestal,texto,categoría,procesada,resultados_forestales_nacionales.csv; valoracion_resultados_forestales_nacionales.csv; sensibilidad_valor_presente.csv; escenarios_*.csv; trayectorias_fisicas.csv,Deforestación bruta saldo ponderado por recuperación o pérdida neta institucional
resultado_inferior_anual_ha,Límite inferior anualizado del resultado físico,numérico,ha por año,procesada,resultados_forestales_nacionales.csv; valoracion_resultados_forestales_nacionales.csv; escenarios_nacionales.csv; escenarios_valorados.csv,Resultado inferior del periodo dividido entre cuatro
resultado_inferior_decada_ha,Límite inferior acumulado de diez años,numérico,ha,procesada,escenarios_nacionales.csv; escenarios_valorados.csv,Resultado inferior anual multiplicado por diez
resultado_inferior_ha,Límite inferior del resultado forestal,numérico,ha acumuladas 2016-2020,procesada,resultados_forestales_nacionales.csv; valoracion_resultados_forestales_nacionales.csv,En un intervalo ponderado usa la proporción máxima
resultado_inferior_ha_periodo_base,Límite inferior del escenario sobre el periodo base,numérico,ha por periodo base,procesada,escenarios_nacionales.csv; escenarios_valorados.csv,mB por B menos rho máxima por mR por R
resultado_superior_anual_ha,Límite superior anualizado del resultado físico,numérico,ha por año,procesada,resultados_forestales_nacionales.csv; valoracion_resultados_forestales_nacionales.csv; escenarios_nacionales.csv; escenarios_valorados.csv,Resultado superior del periodo dividido entre cuatro
resultado_superior_decada_ha,Límite superior acumulado de diez años,numérico,ha,procesada,escenarios_nacionales.csv; escenarios_valorados.csv,Resultado superior anual multiplicado por diez
resultado_superior_ha,Límite superior del resultado forestal,numérico,ha acumuladas 2016-2020,procesada,resultados_forestales_nacionales.csv; valoracion_resultados_forestales_nacionales.csv,En un intervalo ponderado usa la proporción mínima
resultado_superior_ha_periodo_base,Límite superior del escenario sobre el periodo base,numérico,ha por periodo base,procesada,escenarios_nacionales.csv; escenarios_valorados.csv,mB por B menos rho mínima por mR por R
rho20_central,Valor central de la proporción de recuperación de biomasa a veinte años,numérico adimensional,proporción,entrada y procesada,catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv,Campo directo del catálogo analítico
rho20_max,Límite superior de la proporción de recuperación de biomasa a veinte años,numérico adimensional,proporción,procesada,catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv; comparacion_local_recuperacion_mangle.csv,Produce el límite inferior de pérdida ponderada
rho20_min,Límite inferior de la proporción de recuperación de biomasa a veinte años,numérico adimensional,proporción,procesada,catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv; comparacion_local_recuperacion_mangle.csv,Produce el límite superior de pérdida ponderada
rho_aplicada_max,Proporción máxima aplicada a la unidad en la completación nacional,numérico adimensional,proporción,procesada,completacion_nacional_unidades.csv,rho20_max dentro del dominio y uno fuera
rho_aplicada_min,Proporción mínima aplicada a la unidad en la completación nacional,numérico adimensional,proporción,procesada,completacion_nacional_unidades.csv,rho20_min dentro del dominio y uno fuera
rho_critica,Proporción de recuperación necesaria para que el saldo sea cero,numérico adimensional,proporción,procesada,resultados_recuperacion_municipales.csv,perdida_bruta_ha dividida entre recuperacion_bruta_ha y ausente si R es cero
saldo_estructural_inferior_ha,Límite inferior de pérdida bajo la proporción estructural local,numérico,ha acumuladas 2016-2020,procesada,resultados_mangle_locales.csv; comparacion_local_recuperacion_mangle.csv; resumen_mangle_local.csv,B menos proporcion_estructural_max por R
saldo_estructural_superior_ha,Límite superior de pérdida bajo la proporción estructural local,numérico,ha acumuladas 2016-2020,procesada,resultados_mangle_locales.csv; comparacion_local_recuperacion_mangle.csv; resumen_mangle_local.csv,B menos proporcion_estructural_min por R
saldo_ponderado_central_ha,Saldo con la proporción central de recuperación,numérico,ha acumuladas 2016-2020,procesada,resultados_recuperacion_municipales.csv,B menos rho20_central por R
saldo_ponderado_inferior_anual_ha,Límite inferior anualizado del saldo ponderado nacional,numérico,ha por año,procesada,completacion_nacional_resumen.csv,saldo_ponderado_inferior_ha dividido entre cuatro
saldo_ponderado_inferior_ha,Límite inferior del saldo ponderado,numérico,ha acumuladas 2016-2020,procesada,resultados_recuperacion_*.csv; completacion_nacional_*.csv; comparacion_local_recuperacion_mangle.csv,B menos la proporción máxima por R
saldo_ponderado_superior_anual_ha,Límite superior anualizado del saldo ponderado nacional,numérico,ha por año,procesada,completacion_nacional_resumen.csv,saldo_ponderado_superior_ha dividido entre cuatro
saldo_ponderado_superior_ha,Límite superior del saldo ponderado,numérico,ha acumuladas 2016-2020,procesada,resultados_recuperacion_*.csv; completacion_nacional_*.csv; comparacion_local_recuperacion_mangle.csv,B menos la proporción mínima por R
series_adultas,Número de series o mediciones clasificadas como adultas,entero,series,entrada,evidencia_ppm_estructural.csv,Se conserva como atributo de procedencia y no entra directamente en 30/55-34/55
series_multitemporales,Número de series comparables con más de una medición,entero,series,entrada y procesada,evidencia_ppm_estructural.csv; intervalo_estructural_local.csv,Suma 55 y constituye el denominador del intervalo estructural
sha256,Huella criptográfica SHA-256 del archivo,texto,hexadecimal,metadatos,manifiesto_resultados.csv,Permite verificar integridad byte por byte
sitios_referencia,Sitios publicados por Poorter et al. usados como referencia regional,texto,no aplica,entrada y procesada,catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv,No implica que cada municipio tenga un sitio observado
suben_carbono_y_area_basal,Número de series con aumento conjunto de carbono y área basal,entero,series,entrada,evidencia_ppm_estructural.csv,Suma 30 y define el numerador mínimo de la proporción estructural
tasa,Tasa de descuento evaluada en sensibilidad,numérico adimensional,proporción anual,procesada,sensibilidad_valor_presente.csv,Valores 0.02 0.04 y 0.05
tasa_descuento,Tasa de descuento central de la valoración,numérico adimensional,proporción anual,procesada,valoracion_resultados_forestales_nacionales.csv,Valor central 0.04
tipo_unidad,Clase de unidad territorial,texto,categoría,entrada y procesada,archivos territoriales,Municipio o unidad lacustre no municipal
trayectoria_mixta,Número de series con señales mixtas entre carbono y área basal,entero,series,entrada,evidencia_ppm_estructural.csv,Suma cuatro y se incluye solo en el numerador máximo
trayectorias_desfavorables,Número agregado de series con disminución conjunta,entero,series,procesada,intervalo_estructural_local.csv,Suma 21
trayectorias_favorables,Número agregado de series con aumento conjunto,entero,series,procesada,intervalo_estructural_local.csv,Suma 30
trayectorias_mixtas,Número agregado de series con trayectoria mixta,entero,series,procesada,intervalo_estructural_local.csv,Suma cuatro
unidad,Unidad del parámetro de valoración,texto,no aplica,entrada,parametros_valoracion.csv,Se conserva exactamente para evitar mezclar flujos stocks y porcentajes
unidades,Número de unidades territoriales incluidas en el agregado,entero,unidades,procesada,resultados_institucionales_departamentales.csv; completacion_nacional_resumen.csv,Puede incluir unidades lacustres cuando el ámbito es nacional o departamental
uso_analitico,Condición de uso de un costo contextual,texto,categoría,entrada y procesada,costos_contextuales.csv; costos_contextuales_no_aditivos.csv,Valor esperado Contexto no aditivo
valor,Valor numérico del parámetro de valoración,numérico,según unidad,entrada,parametros_valoracion.csv,Interpretar junto con parametro unidad anio_base fuente y nota
valor_unitario_gtq_ha_anio,Valor medio transferido por hectárea y año a precios de 2026,numérico,GTQ por ha por año,procesada,valoracion_resultados_forestales_nacionales.csv,22553 por factor 1.32960218275 igual a 29986.5180275607
vp_cohorte_inferior_gtq,Valor presente del flujo de servicios asociado al límite inferior de una cohorte anual,numérico,GTQ,procesada,valoracion_resultados_forestales_nacionales.csv; sensibilidad_valor_presente.csv,Flujo anual inferior por factor de anualidad de 25 años
vp_cohorte_superior_gtq,Valor presente del flujo de servicios asociado al límite superior de una cohorte anual,numérico,GTQ,procesada,valoracion_resultados_forestales_nacionales.csv; sensibilidad_valor_presente.csv,Flujo anual superior por factor de anualidad de 25 años
vp_decada_inferior_gtq,Valor presente de diez cohortes del límite inferior del escenario,numérico,GTQ,procesada,escenarios_valorados.csv,Suma descontada de diez cohortes anuales no negativas
vp_decada_superior_gtq,Valor presente de diez cohortes del límite superior del escenario,numérico,GTQ,procesada,escenarios_valorados.csv,Suma descontada de diez cohortes anuales no negativas
vp_diez_cohortes_inferior_gtq,Valor presente de diez cohortes constantes bajo el límite inferior del resultado,numérico,GTQ,procesada,valoracion_resultados_forestales_nacionales.csv,Cada cohorte se descuenta al inicio del horizonte
vp_diez_cohortes_superior_gtq,Valor presente de diez cohortes constantes bajo el límite superior del resultado,numérico,GTQ,procesada,valoracion_resultados_forestales_nacionales.csv,Cada cohorte se descuenta al inicio del horizonte
